Symbol,Date,VWAP,IBH,IBL,Open,High,Low,Close,Volume
ESU3,"2023-01-23 09:31",4069.75,4077.00,4069.50,4075.25,4077.00,4069.50,4069.75,12825
ESU3,"2023-01-23 09:32",4068.50,4077.00,4065.00,4070.00,4070.50,4065.00,4066.50,7664
ESU3,"2023-01-23 09:33",4069.00,4077.00,4065.00,4066.75,4072.25,4065.75,4070.75,7223
ESU3,"2023-01-23 09:34",4069.25,4077.00,4065.00,4070.75,4072.75,4068.75,4070.00,4710
ESU3,"2023-01-23 09:35",4069.00,4077.00,4065.00,4070.25,4071.50,4067.50,4067.75,4706
ESU3,"2023-01-23 09:36",4069.75,4077.00,4065.00,4067.75,4075.00,4066.50,4072.75,7659
ESU3,"2023-01-23 09:37",4069.50,4077.00,4065.00,4072.75,4072.75,4066.75,4067.75,4807
ESU3,"2023-01-23 09:38",4069.75,4077.00,4065.00,4067.75,4072.00,4067.50,4071.25,5008
ESU3,"2023-01-23 09:39",4069.75,4077.00,4065.00,4071.25,4072.00,4069.00,4069.75,3041
ESU3,"2023-01-23 09:40",4069.75,4077.00,4065.00,4069.50,4072.25,4069.00,4070.50,3121
ESU3,"2023-01-23 09:41",4070.00,4077.00,4065.00,4070.50,4075.00,4070.50,4073.50,5249
ESU3,"2023-01-23 09:42",4070.00,4077.00,4065.00,4073.50,4074.00,4070.25,4071.75,4144
ESU3,"2023-01-23 09:43",4070.50,4077.00,4065.00,4072.00,4075.75,4072.00,4075.25,4447
ESU3,"2023-01-23 09:44",4070.75,4077.50,4065.00,4075.00,4077.50,4074.75,4076.00,4559
ESU3,"2023-01-23 09:45",4071.00,4077.50,4065.00,4076.00,4076.25,4073.50,4074.00,3518
ESU3,"2023-01-23 09:46",4071.25,4078.50,4065.00,4074.25,4078.50,4074.25,4078.00,3806
ESU3,"2023-01-23 09:47",4071.50,4079.25,4065.00,4078.00,4079.25,4076.00,4078.25,5198
